,Day,PS_Q_DAY,PS_DS_DAY,PS_VS_DAY,TPS_Q1_DAY,TPS_DS_DAY,TPS_VS_DAY,TWAS_DAF_QIN_DAY,TWAS_DAF_Q2_DAY,TWAS_DAF_DS_DAY,TWAS_DAF_VS_DAY,TWAS_CENT_Q3_DAY,TWAS_CENT_DS_DAY,TWAS_CENT_VS_DAY,SONIC_TWAS_Q_DAY,SONIC_TWAS_DDCOD_WEEK,DIGESTED_SLUDGE_QOUT_DAY,DIGESTED_SLUDGE_DS_3_PER_WEEK,DIGESTED_SLUDGE_VS_3_PER_WEEK,BIOGAS_PRODUCTION_Q_DAY,CH4CONTENT_WEEKLY,DIG_SLUDGE_DEWATER_FEED,DIG_SLUDGE_DEWATER_FECL3_DAY,DIG_SLUDGE_DEWATER_PLYMER_CONSUMPTION_3_PER_WEEK,DIG_SLUDGE_DEWATER_DS_AFTER_DEWATER_3_PER_WEEK,CAKE
0,1,1197,,,199.5,,,242.5,,,,,,,,,414,,,5.064,,,5600,,32.1,
1,2,1197,,,199.5,,,165.5,,,,,,,,,392,,,5.293,,,2800,,32.1,
2,3,1197,0.18,60,199.5,2.01,89.13,241.5,,5.01,87.25,,,,,,428,2.09,77.85,5.609,,,4200,3.865907402452830,32.1,
3,4,1197,0.57,81.81,170,2.91,91.3,194,,5.48,82.17,,2.78,82.92,,,354,1.88,,4.47,,,5600,4.39970967984678,31.8,
4,5,1197,0.45,72.72,199.5,3.17,91.22,193.5,,5.36,84.78,,3.98,81.73,,,383,2.05,77.41,2.848,,,5600,4.5098339261432300,31.4,
5,6,1197,0.2,83.33,199.5,1.93,88.57,190.5,,5.27,83.33,,3.53,82.79,,,392,1.9,75.51,2.612,,,4200,4.659085852011050,31.1,
6,7,1197,,,199.5,,,229.5,,,,,,,,,454,,,3.444,,,1400,,31.9,
7,8,1197,,,175,,,196,,,,,,,,,364,,,3.784,,,2800,,32.4,
8,9,1197,0.83,78.57,199.5,0.89,83.36,356.5,,4.97,85.18,,4.23,83.17,,,537,1.89,73.52,4.108,,,4200,2.639917685545930,32.3,
9,10,1197,2.09,90.32,199.5,,,218.5,,4.58,85.33,,4.17,87.78,,,414,2.0950000000000000,77.975,3.641,,,5600,4.674007329488180,32.1,
